epoch,model_file,evaluation_time,samples_evaluated,generator_lr,discriminator_lr,total_loss,identity_loss,healing_loss,adversarial_loss,segmentation_loss,perceptual_loss,discriminator_loss,status
60,abnormal_to_normal_60.pth,0.17,3,0.000200,0.000200,2.904288,0.050848,0.077123,2.238885,0.000000,0.002680,0.141392,success
61,abnormal_to_normal_61.pth,0.16,3,0.000200,0.000200,3.863823,0.048581,0.072529,3.229879,0.000000,0.003073,0.206396,success
62,abnormal_to_normal_62.pth,0.17,3,0.000200,0.000200,1.724032,0.054440,0.077193,1.023231,0.000000,0.002020,0.514639,success
63,abnormal_to_normal_63.pth,0.17,3,0.000200,0.000200,3.017212,0.052307,0.069346,2.352996,0.000000,0.002455,0.131809,success
64,abnormal_to_normal_64.pth,0.15,3,0.000200,0.000200,2.360261,0.058554,0.073039,1.626247,0.000000,0.002397,0.243107,success
65,abnormal_to_normal_65.pth,0.18,3,0.000200,0.000200,4.128191,0.049137,0.075696,3.481785,0.000000,0.003646,0.167189,success
66,abnormal_to_normal_66.pth,0.18,3,0.000200,0.000200,4.070696,0.051982,0.087914,3.368452,0.000000,0.006599,0.188230,success
67,abnormal_to_normal_67.pth,0.18,3,0.000200,0.000200,5.655076,0.049155,0.087047,4.983826,0.000000,0.005606,0.277303,success
68,abnormal_to_normal_68.pth,0.17,3,0.000200,0.000200,4.572075,0.050240,0.077799,3.911038,0.000000,0.003043,0.090122,success
69,abnormal_to_normal_69.pth,0.18,3,0.000200,0.000200,3.697554,0.051582,0.074980,3.029497,0.000000,0.002278,0.272440,success
70,abnormal_to_normal_70.pth,0.17,3,0.000200,0.000200,4.471762,0.047956,0.064081,3.861468,0.000000,0.002567,0.132653,success
71,abnormal_to_normal_71.pth,0.15,3,0.000200,0.000200,3.899122,0.072832,0.095369,2.971071,0.000000,0.008990,0.090806,success
72,abnormal_to_normal_72.pth,0.17,3,0.000200,0.000200,3.256919,0.057392,0.077575,2.521450,0.000000,0.006398,0.173871,success
73,abnormal_to_normal_73.pth,0.16,3,0.000200,0.000200,4.229980,0.055597,0.083312,3.501904,0.000000,0.005479,0.172431,success
74,abnormal_to_normal_74.pth,0.16,3,0.000200,0.000200,3.647753,0.064157,0.074212,2.853656,0.000000,0.004101,0.120486,success
